Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity
"Jul 09, 2018",101.85,101.65,102.25,101.25,18.21M
"Jul 06, 2018",101.16,99.89,101.43,99.67,19.23M
"Jul 05, 2018",99.76,99.5,99.92,99.03,18.98M
"Jul 03, 2018",99.05,100.48,100.63,98.94,14.67M
"Jul 02, 2018",100.01,98.1,100.06,98.0,19.56M
"Jun 29, 2018",98.61,98.93,99.91,98.33,28.05M
"Jun 28, 2018",98.63,97.38,99.11,97.26,26.65M
"Jun 27, 2018",97.54,99.58,100.02,97.4,31.30M
"Jun 26, 2018",99.08,98.82,100.08,98.75,26.90M
"Jun 25, 2018",98.39,100.0,100.11,97.3,35.43M
"Jun 22, 2018",100.41,100.41,100.77,99.62,38.92M
"Jun 21, 2018",101.14,102.08,102.46,100.88,23.20M
"Jun 20, 2018",101.87,101.37,102.52,101.12,26.18M
"Jun 19, 2018",100.86,99.65,101.0,99.5,28.65M
"Jun 18, 2018",100.86,100.01,101.11,99.42,23.59M
"Jun 15, 2018",100.13,101.51,101.53,100.07,65.74M
"Jun 14, 2018",101.42,101.65,102.03,101.0,25.69M
"Jun 13, 2018",100.85,101.72,102.01,100.56,29.49M
"Jun 12, 2018",101.31,101.1,101.45,100.75,18.33M
"Jun 11, 2018",101.05,101.37,101.59,100.67,23.49M
"Jun 08, 2018",101.63,101.09,101.95,100.54,22.17M
"Jun 07, 2018",100.88,102.65,102.69,100.38,28.23M
"Jun 06, 2018",102.49,102.48,102.6,101.9,21.12M
"Jun 05, 2018",102.19,102.0,102.33,101.53,23.51M
"Jun 04, 2018",101.67,101.26,101.86,100.85,27.28M
"Jun 01, 2018",100.79,99.28,100.86,99.17,28.66M
"May 31, 2018",98.84,99.29,99.99,98.61,34.14M
"May 30, 2018",98.95,98.31,99.25,97.91,22.16M
"May 29, 2018",98.01,97.84,98.88,97.23,28.67M
"May 25, 2018",98.36,98.3,98.98,97.86,18.36M
"May 24, 2018",98.31,98.72,98.94,96.81,26.65M
"May 23, 2018",98.66,96.71,98.73,96.32,21.25M
"May 22, 2018",97.5,97.68,98.17,97.2,15.44M
"May 21, 2018",97.6,97.0,98.01,96.8,19.42M
"May 18, 2018",96.36,96.01,96.93,96.01,17.87M
"May 17, 2018",96.18,96.76,97.54,95.83,17.25M
"May 16, 2018",97.15,97.36,97.4,96.61,17.38M
"May 15, 2018",97.32,97.24,97.85,96.34,24.59M
"May 14, 2018",98.03,97.92,98.69,97.31,19.45M
"May 11, 2018",97.7,97.8,97.87,97.04,16.78M
"May 10, 2018",97.91,97.46,97.95,97.05,22.39M
"May 09, 2018",96.94,96.01,96.97,95.05,27.33M
"May 08, 2018",95.81,95.85,96.16,95.06,23.48M
"May 07, 2018",96.22,95.17,96.71,95.1,24.24M
"May 04, 2018",95.16,93.32,95.37,92.92,22.53M
"May 03, 2018",94.07,92.96,94.92,92.45,31.14M
"May 02, 2018",93.51,94.99,95.17,93.19,27.47M
"May 01, 2018",95.0,93.21,95.29,92.79,31.41M
"Apr 30, 2018",93.52,96.33,96.4,93.15,41.52M
"Apr 27, 2018",95.82,97.6,97.9,93.91,48.27M
"Apr 26, 2018",94.26,93.55,95.15,93.1,42.53M
"Apr 25, 2018",92.31,93.3,93.3,90.28,33.73M
"Apr 24, 2018",93.12,96.24,96.47,92.41,34.52M
"Apr 23, 2018",95.35,95.74,96.29,94.63,22.33M
"Apr 20, 2018",95.0,95.91,96.11,94.05,31.15M
"Apr 19, 2018",96.11,96.44,97.07,95.34,23.55M
"Apr 18, 2018",96.44,96.22,96.72,95.52,21.04M
"Apr 17, 2018",96.07,95.0,96.54,94.88,26.77M
"Apr 16, 2018",94.17,94.07,94.66,93.42,20.29M
"Apr 13, 2018",93.08,94.05,94.18,92.44,23.35M
